Dataset samples: 510
Training samples: 387
Test samples: 123
######################Training Started######################
Average Testing Loss of Epoch 14: 0.298532 | Acc: 97.56%
####################Epoch 14 Model Saved####################
Average Training Loss of Epoch 15: 0.275985 | Acc: 94.57%
Average Testing Loss of Epoch 15: 0.333682 | Acc: 92.68%
####################Epoch 15 Model Saved####################
Average Training Loss of Epoch 16: 0.264047 | Acc: 94.32%
Average Testing Loss of Epoch 16: 0.345761 | Acc: 85.37%
####################Epoch 16 Model Saved####################
Average Training Loss of Epoch 17: 0.290495 | Acc: 95.87%
Average Testing Loss of Epoch 17: 0.279282 | Acc: 97.56%
####################Epoch 17 Model Saved####################
Average Training Loss of Epoch 18: 0.285679 | Acc: 95.09%
Average Testing Loss of Epoch 18: 0.265777 | Acc: 97.56%
####################Epoch 18 Model Saved####################
Average Training Loss of Epoch 19: 0.215279 | Acc: 97.67%
Average Testing Loss of Epoch 19: 0.275017 | Acc: 95.93%
####################Epoch 19 Model Saved####################
Average Training Loss of Epoch 20: 0.230275 | Acc: 97.67%
Average Testing Loss of Epoch 20: 0.252256 | Acc: 97.56%
####################Epoch 20 Model Saved####################
Average Training Loss of Epoch 21: 0.205159 | Acc: 97.93%
Average Testing Loss of Epoch 21: 0.243724 | Acc: 97.56%
####################Epoch 21 Model Saved####################
Average Training Loss of Epoch 22: 0.204462 | Acc: 97.93%
Average Testing Loss of Epoch 22: 0.237827 | Acc: 97.56%
####################Epoch 22 Model Saved####################
Average Training Loss of Epoch 23: 0.193368 | Acc: 98.45%
Average Testing Loss of Epoch 23: 0.222408 | Acc: 97.56%
####################Epoch 23 Model Saved####################
Average Training Loss of Epoch 24: 0.201659 | Acc: 98.97%
Average Testing Loss of Epoch 24: 0.235571 | Acc: 96.75%
####################Epoch 24 Model Saved####################
Average Training Loss of Epoch 25: 0.182463 | Acc: 99.74%
Average Testing Loss of Epoch 25: 0.208363 | Acc: 97.56%
####################Epoch 25 Model Saved####################
Average Training Loss of Epoch 26: 0.179032 | Acc: 99.48%
Average Testing Loss of Epoch 26: 0.234499 | Acc: 95.93%
####################Epoch 26 Model Saved####################
Average Training Loss of Epoch 27: 0.183748 | Acc: 99.48%
Average Testing Loss of Epoch 27: 0.194857 | Acc: 97.56%
####################Epoch 27 Model Saved####################
Average Training Loss of Epoch 28: 0.169824 | Acc: 99.74%
Average Testing Loss of Epoch 28: 0.205878 | Acc: 97.56%
####################Epoch 28 Model Saved####################
Average Training Loss of Epoch 29: 0.167076 | Acc: 99.48%
Average Testing Loss of Epoch 29: 0.219943 | Acc: 95.93%
####################Epoch 29 Model Saved####################
Average Training Loss of Epoch 30: 0.175514 | Acc: 99.48%
Average Testing Loss of Epoch 30: 0.224048 | Acc: 95.93%
####################Epoch 30 Model Saved####################
Average Training Loss of Epoch 31: 0.151900 | Acc: 99.48%
Average Testing Loss of Epoch 31: 0.181680 | Acc: 97.56%
####################Epoch 31 Model Saved####################
Average Training Loss of Epoch 32: 0.148030 | Acc: 100.00%
Average Testing Loss of Epoch 32: 0.210219 | Acc: 95.93%
####################Epoch 32 Model Saved####################
Average Training Loss of Epoch 33: 0.157264 | Acc: 98.71%
Average Testing Loss of Epoch 33: 0.178403 | Acc: 97.56%
####################Epoch 33 Model Saved####################
Average Training Loss of Epoch 34: 0.142313 | Acc: 99.74%
Average Testing Loss of Epoch 34: 0.186999 | Acc: 97.56%
####################Epoch 34 Model Saved####################
Average Training Loss of Epoch 35: 0.150823 | Acc: 98.97%
Average Testing Loss of Epoch 35: 0.161816 | Acc: 97.56%
####################Epoch 35 Model Saved####################
Average Training Loss of Epoch 36: 0.136295 | Acc: 99.74%
Average Testing Loss of Epoch 36: 0.159674 | Acc: 97.56%
####################Epoch 36 Model Saved####################
#####################Training Finished######################
